topic,phrase,chinese,seq
Academic Skills,research skills,研究能力, 1
Academic Skills,analytical skills,分析能力, 2
Academic Skills,search the web for information,上网找资料, 3
Academic Skills,do research,做调查, 4
Academic Skills,leadership skills,领导能力, 5
Academic Skills,leadership qualities,领导的素质, 6
Academic Skills,organisational skills,组织能力, 7
Academic Skills,academic skills,学术能力, 8
Academic Skills,problem-solving skills,解决问题的能力, 9
Academic Skills,gather information,收集信息, 10
Academic Skills,critical thinking skills,思辨能力, 11
Academic Skills,computer literacy,电脑能力, 12
Academic Skills,practical skills,实际工作的能力, 13
Academic Skills,sharpen skills/add to the skill set,丰富技能, 14
Air Travel,travel by air,坐飞机出行, 15
Air Travel,air transport,空运, 16
Air Travel,make non-essential trips,进行非必要的旅行, 17
Air Travel,in the airline industry,在航空业, 18
Air Travel,travel expenses,差旅费, 19
Air Travel,tourist attractions,旅游景点, 20
Air Travel,greenhouse gases,温室气体, 21
Air Travel,trap heat from the sun,从太阳吸收热量, 22
Air Travel,unusually warm conditions,异常温暖的气候, 23
Air Travel,air travel,空航, 24
Air Travel,transport...by air,通过飞机运输, 25
Air Travel,price war,价格战, 26
Air Travel,air fares,机票费用, 27
Air Travel,on holiday,度假, 28
Air Travel,a source of pollution,污染源, 29
Air Travel,build up in the atmosphere,聚集在大气中, 30
Air Travel,extreme weather conditions,极端天气, 31
Animal Testing,animal tests,动物实验, 32
Animal Testing,conduct experiments,做实验, 33
Animal Testing,develop a new drug,研发一种新药, 34
Animal Testing,side effect,副作用, 35
Animal Testing,medical tests,药物实验, 36
Animal Testing,medical products,医用品, 37
Animal Testing,animal experiments,动物实验, 38
Animal Testing,animal welfare groups,动物权益团体, 39
Animal Testing,show promising results,有好结果, 40
Animal Testing,exposed to abuse,受到虐待, 41
Animal Testing,alternative methods of research,可代替的研究方法, 42
Animal Testing,skincare products,护肤品, 43
Architecture,historic building,历史建筑, 44
Architecture,heritage building,古建筑, 45
Architecture,cultural site,文化遗址, 46
Architecture,historic site,历史遗址, 47
Architecture,cultural attraction,文化胜地, 48
Architecture,architectural landmark,建筑地标, 49
Architecture,architectural treasure,建筑瑰宝, 50
Architecture,make a trip,进行一次旅行, 51
Architecture,in ancient times,在古时候, 52
Architecture,cultural heritage,文化遗产, 53
Behavioural Problems,good role models,好的榜样, 54
Behavioural Problems,copy behaviour,模仿行为, 55
Behavioural Problems,behave badly,表现得很差, 56
Behavioural Problems,behavioural problems,行为问题, 57
Behavioural Problems,show good manners,表现出礼貌的行为, 58
Behavioural Problems,show respect to (somebody),表现出尊敬, 59
Behavioural Problems,send/take children to school,送孩子去学校, 60
Behavioural Problems,first educators,第一个老师(启蒙老师), 61
Behavioural Problems,domestic violence,家庭暴力, 62
Behavioural Problems,poor behaviour,不良的行为, 63
Behavioural Problems,show aggression,有暴力倾向, 64
Behavioural Problems,social norms,社会规范, 65
Behavioural Problems,speak in a friendly manner,说话有礼貌, 66
Behavioural Problems,pick up children,接孩子, 67
Business,competitive advantages,竞争优势, 68
Business,satisfy the needs,满足需求, 69
Business,stand out from the crowd,脱颖而出, 70
Business,worth a visit,值得去看看, 71
Business,a memorable experience,一次难忘的经历, 72
Business,visual experience,视觉体验, 73
Business,intense competition,激烈的竞争, 74
Business,serve a niche market,服务小众市场, 75
Business,set up a company,创立一个公司, 76
Business,run a successful business,经营一个成功的生意, 77
Business,running cost,运营成本, 78
Business,make profits,赚取利润, 79
Business,go bankrupt,破产, 80
Business,make ends meet,收支相抵, 81
Business,go bust,破产(口语), 82
Business,good value for money,性价比很高, 83
Business,business plans,商业计划, 84
Business,cost reduction measures,减少成本的措施, 85
Business,handle complaints,处理投诉, 86
Car Emissions,curb car use,限制汽车的使用, 87
Car Emissions,create exhaust fumes,产生废气, 88
Car Emissions,cause air pollution,引起空气污染, 89
Car Emissions,suffer from poor health,忍受身体不适, 90
Car Emissions,mitigate problems,缓解问题, 91
Car Emissions,increase the health cost,增加医疗费用, 92
Car Emissions,climate change,气候变化, 93
Car Emissions,car emissions,汽车尾气, 94
Car Emissions,dangerous to our health,对我们的健康产生危害, 95
Car Emissions,tackle pollution,解决污染问题, 96
Car Emissions,poor air quality,空气质量差, 97
Car Emissions,a bad harvest in agriculture,农业收成不好, 98
Car Emissions,global warming,全球变暖, 99
Celebrities,self-made celebrities,依靠自己努力而出名的人, 100
Celebrities,start from scratch,白手起家, 101
Celebrities,lead a life of luxury,过奢侈的生活, 102
Celebrities,designer clothes,名牌的衣服, 103
Celebrities,extravagant parties,奢华的派对, 104
Celebrities,live a frugal life,过节约的生活, 105
Celebrities,drive prestigious cars,开豪车, 106
Celebrities,set a bad example,树立坏的榜样, 107
Celebrities,pursue material goods,追求物质的东西, 108
Celebrities,pop singers,摇滚歌手, 109
Celebrities,movie stars,电影明星, 110
Celebrities,positive role models,正面的榜样, 111
Celebrities,the younger generation,年青一代, 112
Celebrities,sports stars,体育明星, 113
Celebrities,develop skills,培养技能, 114
Celebrities,become world famous,变得世界闻名, 115
Celebrities,role models,楷模, 116
Celebrities,demonstrate determination,表现出决心, 117
Celebrities,achieve success,获得成功, 118
Celebrities,admire celebrities,羡慕名人, 119
Celebrities,famous entertainers,有名的娱乐圈人士, 120
Celebrities,achieve fame,成名, 121
Celebrities,devoted fans,忠实粉丝, 122
Celebrities,famous sportspeople,著名运动员, 123
Celebrities,inspire the next generation,激励下一代, 124
Celebrities,develop talents,发展天赋, 125
Celebrities,emulate idols,模仿偶像, 126
Celebrities,a good influence,积极的影响, 127
Celebrities,encounter difficulties,遇到问题, 128
Charity,charitable organisations,慈善组织, 129
Charity,mobilise resources,调拨资源, 130
Charity,medical aid,医疗救助, 131
Charity,people in need,有需要的人, 132
Charity,live in poverty,生活贫穷的人, 133
Charity,impoverished countries,贫穷国家, 134
Charity,raise funds,筹钱, 135
Charity,international aid,国际援助, 136
Charity,needy people,有需要的人, 137
Charity,basie necessities,日常生活用品, 138
Charity,get rid of poverty,摆脱贫穷, 139
Charity,Third World countries,第三世界的国家, 140
Clothes,follow a dress code,遵守着装要求, 141
Clothes,dress formally,穿着正式, 142
Clothes,present a professional image,展现专业形象, 143
Clothes,social rules,社会规则, 144
Clothes,social etiquette,社交礼仪, 145
Clothes,wear uniforms,穿制服, 146
Clothes,casual dress,休闲服装, 147
Clothes,make a good impression,留下好印象, 148
Clothes,social norms,社会规范, 149
Clothes,public places/spaces,公共场所, 150
Communication,face-to-face communication,面对面交流, 151
Communication,human interaction,人际交往, 152
Communication,facial expression,面部表情, 153
Communication,avoid misunderstandings,避免误解, 154
Communication,listen to others,倾听别人, 155
Communication,communication skills,交流能力, 156
Communication,interpret messages,解释信息;翻译信息, 157
Communication,body language,肢体语言, 158
Communication,a sign of respect,以示尊敬, 159
Communication,a good listener,一个好的听众, 160
Communication,a good communicator,良好的沟通能力;出色的沟通者, 161
Communication,form strong relationships,形成牢固的关系, 162
Communication,live far away from family,住得离家很远, 163
Communication,family life,家庭活动, 164
Communication,live alone,独居, 165
Communication,social activity,社交活动, 166
Community,charity work,慈善工作, 167
Community,community cohesion,社区凝聚力, 168
Community,needy people,有需要的人, 169
Community,gain support,获得帮助, 170
Community,part of community,社区的一分子, 171
Community,a sense of community,社区的感觉, 172
Community,raise funds,筹款, 173
Community,charity groups,慈善团体, 174
Community,give a helping hand,给予帮助, 175
Community,experience difficult times,经历困难时期, 176
Community,members of community,社区的成员, 177
Community,bring people together,让人们聚在一起, 178
Community,musical shows,音乐表演, 179
Computers,computer games,电脑游戏, 180
Computers,educational games,教育类游戏, 181
Computers,computer skills,电脑技能, 182
Computers,computer literacy,计算机素养, 183
Computers,connect to the Internet,联网, 184
Computers,download software,下载软件, 185
Computers,use online communication tools,使用在线交流工具, 186
Computers,store information,存储信息, 187
Computers,process documents,处理文件, 188
Computers,edit photos,编辑照片, 189
Computers,produce videos,制作视频, 190
Consumer Society,consumer societies,消费型社会, 191
Consumer Society,spend more than they earn,入不敷出, 192
Consumer Society,the latest gadgets,最新的电子设备, 193
Consumer Society,pay off debts,还清债务, 194
Consumer Society,low income families,低收入家庭, 195
Consumer Society,buy more than they need,买的东西多过自己需要的, 196
Consumer Society,excess shopping,过度购物, 197
Consumer Society,get into debt,负债, 198
Consumer Society,financial problems,经济问题, 199
Consumer Society,economic pressure,经济压力, 200
Cover letter,a master's degree in accounting,会计硕士, 201
Cover letter,manage financial records,处理财务记录, 202
Cover letter,in the accounting field,在会计领域, 203
Cover letter,accounting competencies,会计能力, 204
Cover letter,manage budgets,处理预算问题, 205
Cover letter,accounting programmes,会计软件, 206
Cover letter,an extensive accounting background,深厚的会计背景, 207
Cover letter,accounting principles,会计准则, 208
Cover letter,in the accounting profession,会计专业, 209
Cover letter,the accountant position,会计职位, 210
Cover letter,bottom line,盈亏底线, 211
Creativity,attend courses,上课, 212
Creativity,apply skills to work,将技能用于工作, 213
Creativity,improve job skills,提高工作能力, 214
Creativity,increase productivity,增加产出, 215
Creativity,come up with creative ideas,想出有创意的点子, 216
Creativity,tackle problems creatively,有创造性地解决问题, 217
Creativity,unconventional measures,非常规手段, 218
Creativity,use imagination,运用想象力, 219
Creativity,educational toy,益智玩具, 220
Creativity,achieve creative potential,发挥创造力, 221
Creativity,brain development,大脑发育, 222
Creativity,have a good grasp of advanced technology,很好地掌握先进科技, 223
Creativity,foster innovation,促进创新, 224
Creativity,make profits,创造利润, 225
Crime,a deterrent effect,威慑作用, 226
Crime,think twice,再三考虑, 227
Crime,curb crime,遏制犯罪, 228
Crime,commit a crime,犯罪, 229
Crime,violate laws,触犯法律, 230
Crime,an escaping criminal,在逃罪犯, 231
Crime,carry weapons,携带武器, 232
Crime,serve a prison term,服刑, 233
Crime,reduce poverty,减少贫穷, 234
Crime,surveillance cameras,视频监控, 235
Crime,escape punishment,逃避惩罚, 236
Crime,prevent crime,阻止犯罪, 237
Crime,combat crime,打击犯罪, 238
Crime,break laws,违反法律, 239
Crime,catch criminals,抓捕罪犯, 240
Crime,armed police,武装警察, 241
Crime,pay a fine,支付罚款, 242
Crime,work as a volunteer,作为志愿者, 243
Crime,vocational/job training,职业培训, 244
Discipline,do some activities,做一些活动, 245
Discipline,from an early age,从幼年开始, 246
Discipline,start school,开始上学, 247
Discipline,parenting styles,父母管教的方式, 248
Discipline,impose sanctions on,施加惩罚, 249
Discipline,stifle creativity,扼杀创造力, 250
Discipline,develop positive habits,培养良好的习惯, 251
Discipline,improve literacy,提高文学素养, 252
Discipline,maintain discipline,维持纪律, 253
Discipline,behavioural problems,行为问题, 254
Discipline,impart a clear code of conduct,传授明确的行为规范, 255
Discipline,act as acceptable members of society,成为社会的好公民, 256
Discipline,good manners,有礼貌, 257
Discipline,grounding and detention,罚站和留堂, 258
Educational Equality,from less well-off backgrounds,来自贫穷的家庭, 259
Educational Equality,children from poor homes,来自贫穷家庭的孩子, 260
Educational Equality,from less well-off families,来自普通家庭, 261
Educational Equality,drop out of school,辍学, 262
Educational Equality,the equal access to education,教育公平, 263
Educational Equality,free-interest loans,无息贷款, 264
Educational Equality,the cost of learning,学习的成本, 265
Educational Equality,reduce poverty,减少贫穷, 266
Educational Equality,disadvantaged students,贫穷的学生, 267
Educational Equality,children from deprived backgrounds,贫穷的孩子, 268
Educational Equality,exempted from tuition fees,免除学费, 269
Educational Equality,educational equality,教育的公平, 270
Educational Equality,study at university,在大学学习, 271
Educational Equality,financial support,财政支持, 272
Educational Equality,break the cycle of poverty,摆脱贫穷, 273
Educational Equality,vocational/job training,职业培训, 274
Educational Equality,bridge the gap between rich and poor,减少贫富差距, 275
Educational Equality,close the economic divide,减少贫富差距, 276
Educational Equality,the education system,教育系统, 277
Educational Equality,higher education,高等教育, 278
Educational Equality,the school system,学校系统, 279
Educational Equality,receive a good education,接受好的教育, 280
Educational Equality,set scholarships,设立奖学金, 281
Educational Equality,a well-educated workforce,受过良好教育的劳动力队伍, 282
Educational Equality,public schools,公立学校, 283
Educational Equality,student loans,学生贷款, 284
Educational Equality,free access to knowledge,免费获取知识, 285
Educational Equality,free education,免费教育, 286
Educational Equality,broadband internet services,宽带服务, 287
Energy Consumption,alternative energy sources,可替代能源, 288
Energy Consumption,renewable resources,可再生资源, 289
Energy Consumption,energy consumption,能源消耗, 290
Energy Consumption,natural light,自然光, 291
Energy Consumption,electric cars,电动汽车, 292
Energy Consumption,car giants,汽车业巨头, 293
Energy Consumption,environmentally friendly materials,环保材料, 294
Energy Consumption,energy efficiency,节能, 295
Energy Consumption,clean energy,清洁能源, 296
Energy Consumption,energy conservation,能源保护, 297
Energy Consumption,generate electricity,发电, 298
Energy Consumption,sustainable materials,可持续材料, 299
Energy Consumption,hybrid cars,混合能源汽车, 300
Energy Consumption,traditional fossil fuels,传统化石燃料, 301
Energy Consumption,energy-saving technology,节能科技, 302
Environmental Problems,environmental problems,环境问题, 303
Environmental Problems,environmental impacts,环境的影响, 304
Environmental Problems,environmental issues,环境议题, 305
Environmental Problems,environmental destruction,环境的破坏, 306
Environmental Problems,cause damage to the environment,对环境造成破坏, 307
Environmental Problems,drop litter,扔垃圾, 308
Environmental Problems,awash with rubbish,充满了垃圾, 309
Environmental Problems,destroy wetlands,破坏湿地, 310
Environmental Problems,clear forest,清理森林, 311
Environmental Problems,damage the beautiful landscape,破坏美好的风景, 312
Environmental Protection,go green,环保, 313
Environmental Protection,environmental protection,环境保护, 314
Environmental Protection,live a sustainable life,过环保的生活, 315
Environmental Protection,environmentally friendly,环保的, 316
Environmental Protection,environmental benefits,环境效益, 317
Environmental Protection,environmental impacts,环境的影响, 318
Environmental Protection,launch massive campaigns,开始大规模的宣传活动, 319
Environmental Protection,environmental awareness,环境意识, 320
Environmental Protection,educate the public about,给大众提供………………方面的教育, 321
Environmental Protection,impose heavy fines,大额罚款, 322
Environmental Protection,rubbish bins,垃圾箱, 323
Environmental Protection,energy conservation,节能, 324
Environmental Protection,recycle waste,回收垃圾, 325
Environmental Protection,household waste/rubbish,家庭垃圾, 326
Exams,devote time,付出时间, 327
Exams,revise for exams,复习备考, 328
Exams,exam grades/exam results,考试成绩, 329
Exams,do homework,做家庭作业, 330
Exams,rote learning,死记硬背, 331
Exams,extra-curricular activities,课外活动, 332
Exams,combine work with pleasure,劳逸结合, 333
Exams,prepare for exams,准备考试, 334
Exams,exam factories,考试工厂(只关注考试的地方), 335
Exams,workload increases,工作量增加, 336
Exams,learn facts by heart,背东西, 337
Exams,find enjoyment,发现乐趣, 338
Exams,pursue a hobby,追求一种爱好, 339
Family,family life,家庭生活, 340
Family,spend quality time,度过宝贵时光, 341
Family,family ties,家庭关系, 342
Family,achieve a work-life balance,实现工作和生活的平衡, 343
Family,family commitments,家庭责任, 344
Family,family dinners,家庭聚餐, 345
Family,family activities,家庭活动, 346
Family,feel lonely,感到孤独, 347
Family,a sense of isolation,孤立感, 348
Family,a loving family,一个有爱的家庭, 349
Family,a sense of loneliness,孤独感, 350
Family,emotional support,情感上的支持, 351
Film,the film industry,电影行业, 352
Film,go to the cinema,去电影院, 353
Film,special effects,特技效果, 354
Film,the box office,票房, 355
Film,top-grossing films,最卖座的电影, 356
Film,big-budget films,大预算电影, 357
Film,star famous actors,由巨星主演, 358
Film,talented filmmakers,有天赋的电影人(制片人), 359
Film,produce high-quality films,制作高质量的电影, 360
Film,domestically produced films,国产电影, 361
Film,locally produced films,当地制作的电影, 362
Food,cook a meal,做饭, 363
Food,cooking skills,做饭技能, 364
Food,life skills,生活技能, 365
Food,prepare meals,准备饭菜, 366
Food,fruits and vegetables,水果和蔬菜, 367
Food,a healthy diet,健康的饮食, 368
Food,a balanced diet,均衡的饮食, 369
Food,fast food,快餐, 370
Food,fizzy drinks,碳酸饮料, 371
Food,fresh ingredients,新鲜的食材, 372
Food,eat fatty food,吃脂肪过多的食物, 373
Food,fish and chips,鱼和薯条, 374
Food,high in salt and sugar,高盐高糖的, 375
Food,combat obesity,对抗肥胖问题, 376
Food Technology,increase yields,增加产量, 377
Food Technology,grow crops,种庄稼, 378
Food Technology,a good harvest,收成很好, 379
Food Technology,apply pesticides,使用杀虫药, 380
Food Technology,food prices,食品价格, 381
Food Technology,genetic engineering,基因工程, 382
Food Technology,resistant to pests,抗虫害, 383
Food Technology,use preservatives,使用防腐剂, 384
Food Technology,grow faster,生长得更快, 385
Food Technology,food production,食品生产, 386
Food Technology,cultivate crops,种庄稼, 387
Food Technology,chemical fertilisers,化肥, 388
Food Technology,pest disease,病虫害, 389
Food Technology,GM food,转基因食品, 390
Food Technology,high-yield crops,高产量的庄稼, 391
Food Technology,intensive farming,高密度农场, 392
Food Technology,mechanised farming,机械化种植, 393
Food Technology,food shortage,食物短缺, 394
Friends,circle of friends,朋友圈, 395
Friends,build up a network of contacts,建立关系网, 396
Friends,make good friends,成为好朋友, 397
Friends,form a good relationship,形成良好的关系, 398
Friends,develop a lifelong friendship,发展一段终生的友谊, 399
Friends,a lasting friendship,持续的友谊, 400
Friends,peer pressure,同辈的压力, 401
Friends,socialise with neighbours,与邻居交往, 402
Friends,gain financial support,获得经济支持, 403
Friends,hang out with friends,与朋友出去玩, 404
Friends,close friends,亲密的朋友, 405
Friends,business opportunities,商业机会, 406
Gender Discrimination,gender discrimination,性别歧视, 407
Gender Discrimination,gender bias,性别偏见, 408
Gender Discrimination,the equal access to education,教育公平, 409
Gender Discrimination,gender gap narrows,缩小性别差距, 410
Gender Discrimination,business leaders,商业领袖, 411
Gender Discrimination,discrimination on the grounds of sex,性别歧视, 412
Gender Discrimination,gender equality,性别平等, 413
Gender Discrimination,gender differences,性别差异, 414
Gender Discrimination,managerial skills,管理技能, 415
Gender Discrimination,members of the board,董事会成员, 416
Gender Discrimination,shatter the glass ceiling,(女性) 打破职位提升的障碍, 417
Gender Discrimination,enter the workforce,进入职场, 418
Gender Discrimination,raise a family/start a family,养家糊口, 419
Gender Discrimination,close the gender gap,减少男女歧视, 420
