chinese, collacations
研究能力, research skills
分析能力, analytical skills
上网找资料, search the web for information
做调查, conduct research
领导能力, leadership skills
领导的素质, leadership qualities
组织能力, organization skills
学术能力, academic skills
解决问题的能力, problem-solving skills
收集信息, gather information
思辨能力, critical thinking skills
电脑能力, computer skills
实际工作的能力, practical skills
丰富技能, sharpen skills/add to the skill set
坐飞机出行, on air
空运, air transport
进行非必要的旅行, make a non-essential travel/journey/trip
在航空业, in the airline industry
差旅费, travel expenses
旅游景点, tourists attrations
温室气体, greenhouse gases
从太阳吸收热量, trap heat from the sun
异常温暖的气候, extreme warm conditions
空航, are travel
通过飞机运输, trasport (goods) by air
价格战, price war
机票费用, air fares
度假, on holiday/vaccation
污染源, a source of pollution
聚集在大气中, build up in the atmosphere
极端天气, extreme weather conditions
动物实验, animal experiments
做实验, perform experiments
研发一种新药, research a new medicine/drug
副作用, side effects
药物实验, medical tests
医用品, medical products
动物实验, animal experiments
动物权益团体, animal welfare groups
有好结果, show a promising result
受到虐待, be exposed to abuse
可代替的研究方法, alternative methods of research
护肤品, skincare products
历史建筑, historic buildings
古建筑, ancient buildings
文化遗址, heritage sites
历史遗址, historic sites
文化胜地, cultural attractions
建筑地标, an architectural landmark
建筑瑰宝, an architectural treasure
进行一次旅行, make a trip/journey
在古时候, in ancient times
文化遗产, (cultural) heritage
好的榜样, good examples/good role models
模仿行为, copy behaviour (in the media)
表现得很差, behave badly/poorly
行为问题, behaviour problems
表现出礼貌的行为, behave in friendly manners
表现出尊敬, show respect to
送孩子去学校, send children to school
第一个老师(启蒙老师), first educators
家庭暴力, domestic violence
不良的行为, poor behavior
有暴力倾向, show aggression
社会规范, social norm
说话有礼貌, speak in friendly manners
接孩子, pick up children
竞争优势, a competitive edge/ a competitive advantage
满足需求, satisfy needs / meet their expectations 
脱颖而出, stand out from the crowd
值得去看看, worth a visit
一次难忘的经历, a memorable experience
视觉体验, visual experience
激烈的竞争, firce/tough/stiff competition
服务小众市场, serve a niche market
创立一个公司, set up a company
经营一个成功的生意, run a successful business
运营成本, running cost
赚取利润, earn profits/make profits
破产, go bankrupt
收支相抵, make ends meet
破产(口语), go bust
性价比很高, good value for moeny
商业计划, business plans
减少成本的措施, methods to reduce costs
处理投诉, handle complaints
限制汽车的使用, curb car use
产生废气, produce exhaust fumes
引起空气污染, lead to air pollution
忍受身体不适, suffer from poor health
缓解问题, mitigate problems
增加医疗费用, increase the cost of healthcare
气候变化, climate change
汽车尾气, car fumes
对我们的健康产生危害, damage our health/be dangerous to our health
解决污染问题, root out/eradicate/address pollution problems
空气质量差, poor air quality
农业收成不好, a bad harvest in agriculture
全球变暖, global warming
依靠自己努力而出名的人, self-made celebrities/start from scratch
白手起家, start from scratch/self-made man
过奢侈的生活, lead a luxurous life/have a life of luxury/lead a extravagant life
名牌的衣服, designer clothes
奢华的派对, extravagant parties
过节约的生活, have a frugal life
开豪车, drive prestigious cars
树立坏的榜样, set negative examples
追求物质的东西, pursue material goods/become too meterialistic
摇滚歌手, rock stars
电影明星, movie stars
正面的榜样, positive role models
年青一代, the young generation/youngsters/the youth
体育明星, sports stars
培养技能, develop skills
变得世界闻名, become world famous
楷模, role models
表现出决心, demonstrate determination
获得成功, achieve success
羡慕名人, admire celebrities
有名的娱乐圈人士, famous entertainers
成名, achieve fame
忠实粉丝, loyal/devoted fans
著名运动员, famous athletes
激励下一代, inspire the next generation
发展天赋, develop talents
模仿偶像, emulate their idols
积极的影响, positive effects/a good influence
遇到问题, encounter problems/difficulties
慈善组织, charity groups/charitable organizations
调拨资源, allocate resources
医疗救助, medical aid
有需要的人, people in need/needy people
生活贫穷的人, people who live in poverty/the poor
贫穷国家, impoverished countries
筹钱, raise funds/money
国际援助, international aid
有需要的人, needy people
日常生活用品, basic necessities
摆脱贫穷, eradicate/root out/get rid of poverty
第三世界的国家, the Third World contries
遵守着装要求, follow a dress code
穿着正式, dress formally
展现专业形象, show a professional image
社会规则, social rules
社交礼仪, social etiquette
穿制服, wear uniforms
休闲服装, casual clothes
留下好印象, leave a good impression
社会规范, social norms
公共场所, public places/spaces
面对面交流, face-to-face interaction
人际交往, human interation
面部表情, facial expression
避免误解, avoid misunderstandings
倾听别人, listen to others
交流能力, communication skills
解释信息翻译信息, interpret messages/information
肢体语言, body language
以示尊敬, a sign of respect
一个好的听众, good audience/a good listener
良好的沟通能力/出色的沟通者, good communication skills & outstanding/professional communicators
形成牢固的关系, form strong relationships
住得离家很远, live far away from home/family
家庭活动, family activities/time
独居, live alone
社交活动, socializing activities
慈善工作, charity work
社区凝聚力, community cohesion
有需要的人, needy people
获得帮助, gain help/support
社区的一分子, a member of the community
社区的感觉, a sense of community
筹款, raise funds/money
慈善团体, charity groups
给予帮助, give a helping hand
经历困难时期, experience tough/hard times
社区的成员, members of the community
让人们聚在一起, bring people together
音乐表演, musical show
电脑游戏, computer games
教育类游戏, educational games
电脑技能, computer skills
计算机素养, computer literacy
联网, connect to the web
下载软件, download software
使用在线交流工具, use online communication tools
存储信息, store messages
处理文件, process files
编辑照片, edit photos
制作视频, produce videos
消费型社会, consumer society
入不敷出, spend more than they earn
最新的电子设备, latest gadgets/electronics/digital products/electronic products
还清债务, pay of debts
低收入家庭, low-income family
买的东西多过自己需要的, buy more goods than they need
过度购物, excess shopping/overspend
负债, get into debt
经济问题, financial problems/difficulties
经济压力, financial pressure