chinese, phrase
独立思考的技能, independent thinking skills
解决问题的技能, problem-solving skills
社会交往技能, social skills
团队合作的技能, teamwork skills
有用的社会成员, useful members of society
知识经济, the konwledge-based economy
国际贸易, international trade
文化交流, cultural exchange
生活水平, standard of living
公共服务(例如:教育、医疗、公共交通、图书馆和博物馆), public services
高速的人口增长, high-speed population growth
科技创新, technological innovations
竞争优势, a competitive edge
崇尚消费的文化, consumer culture
医学研究, medical research
自然资源, nature resources
网络诈骗(fake products 假货), online fraud
(电子游戏、电影里)暴力的画面, violent images
缺少运动的生活方式(对比:an active lifestyle 经常运动的生活方式), a sedentary lifestyle
环保的生活方式, eco-friendly lifestyles
生活节奏, life pace(?)
生活开支, living cost(?)
压力和焦虑, stress and anxiety
性别偏见, gender bias
劳动力短缺, labour shortages
住房短缺, housing shortages
全球变暖, global warming
工作和生活之间的平衡(a work-family balance 工作和家庭之间的平衡), a work-life balance
归属感, a sense of belonging
亲情, family bonds
尊重和信任, respect and trust
汽车尾气, car emissions(?)
碳排放, carbon emissions
电动汽车, electric cars
低收入家庭, low-income families
饥饿与贫困, hungry(?) and poverty
经济支持, financial support
政府收入, government revenue
居住建筑, living buildings
著名的标志性建筑, famous landmarks
传统与风俗, traditions and customs
(传统艺术、老建筑)我们的文化传承的一个重要部分, a key part in our heritage
交流当中的语言障碍, the language barrier in communication
文化多样性, cultural diversity
自然保护区, nature preservation(?)
痛苦和折磨, pain and suffering