chinese, 
增进亲情, build family bonds
【BBC例句】一起阅读是增进家庭亲情的好方法，同时还能获得乐趣和知识。Reading together is a good way to build family bonds while gaining joy and knowledge together.
和他们沟通, interact with them/communicate with them
好的榜样（名词短语）, (?)good charater role
教孩子明辨是非, teach children to tell the difference between right and wrong
有忙碌的事业, have busy careers
无法实现工作和家庭之间的平衡, cannot achieve a work-life balance
溺爱他们的孩子, spoil their children
形成责任感, develop a sense of responsibility
为他们的社区做贡献, contribute to their communities
成为有用的社会成员, become useful members of society
发展他们的社会交往技能, develop/cultive their social skills
有更丰富的人生经验, have richer/colorful life experience
和年轻人分享他们的人生经验, share their life experience with young people/youngsters/ the youth/ the young generation
帮助他们避免错误, help them avoid mistakes
提供科目广泛的课程安排, provide wide curriculums
核心科目, core subjects
选修科目, optional subjects
为适应知识经济做准备, prepare for the knowledge-based economy
发展他们解决问题的技能, develop their problem solving skills
(教师)指导他们的学生, guide their students
(家长)指导他们的孩子, guide their children
做志愿者工作，做义工, do valuntary work
建立理解和尊重, build understanding and respect
(政府)改进公共服务，例如教育、医疗、公共交通, improve public services
医疗服务, the healthcare service
公共交通服务, public transport
让国家变得更有竞争力, make the country more competitive(?)
只有有限的可用资金, have limited funds to spend / have limited money to invest
创造就业, create jobs
为当地的经济做贡献, contribute to / boost the local ecomomy
抢走……的就业机会, take away jobs from
减少贫困现象, reduce poverty
低收入家庭（名词短语）, low-income families
减少不平等现象, reduce inequality
通过立法来……（减少污染，保护野生动物等）, introduce laws to 
对……的公司处以罚款, fine companies 
提高公众的……意识, raise ... awareness of the public(?)
提高公众对健康问题的意识, raise the health awareness of the public(?)
提高公众对环境问题的意识, raise the environmental awareness of the public
开展大规模的宣传活动来……, launch a compaign(?) 
(广告、报纸等)提供可靠的信息, provide reliable information
(广告、报纸等)提供有误导性的信息, provide misleading information
可靠的,  reliable
可靠的公共交通服务, reliable public transport
可靠的医疗服务, reliable healthcare service
污染环境, pollute the environment
破坏我们的健康, damage our health
产生垃圾废料和污染, create/produce waste and pollution
导致健康问题, cause health problems
（汽车、飞机、工厂等）增加碳排放, increase carbon emissions
汽车尾气, car fumes
减少碳排放, reduce carbon emissions
（汽车、飞机、工厂等）加剧全球变暖, (?)contribute to global warming 
可靠的公共交通服务, reliable public transport services
可靠的医疗服务, reliable healthcare services
加剧气候的变化, contribute to climate change
对……构成压力, put pressure on
快速增长, grow rapidly
崇尚消费的社会, consumer society
对自然资源构成压力, put pressure on natural resources
减少生物的多样性, reduce eco-diversity
破坏动植物的自然栖息地, damage their habitats
栖息地, habitat
变得过于拥挤, become overcrowded
城市居民, urban residuals/city dwellers(?)